content	date	key
"{""age"":52,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":779788,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":1,""predictive_idx"":1,""feature_positions"":""3_0_2_1"",""feature_dims"":""5_1_4_13_14_9_2_6_7_12_15_3_0_11_10_8"",""trial"":94,""block"":5,""block_trial"":14,""stim"":""0010"",""shuffled_stim"":""0010"",""label"":1,""rt"":5483,""button_value"":0,""completion_code"":13545}"	2017-08-11T14:27:46	4514354225479680
"{""age"":37,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":232855,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":3,""predictive_idx"":3,""feature_positions"":""2_3_1_0"",""feature_dims"":""7_1_2_3_13_6_4_9_11_0_12_14_5_15_8_10"",""trial"":61,""block"":4,""block_trial"":1,""stim"":""0010"",""shuffled_stim"":""1000"",""label"":0,""rt"":5019,""button_value"":0,""completion_code"":97593}"	2017-08-11T14:32:01	4515619898654720
"{""age"":38,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":684897,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":4,""predictive_idx"":4,""feature_positions"":""9_7_2_5_0_3_1_6_4_8"",""feature_dims"":""12_0_3_6_4_7_10_15_13_14_1_5_8_2_11_9"",""trial"":30,""block"":2,""block_trial"":10,""stim"":""1000100011"",""shuffled_stim"":""1000100011"",""label"":1,""rt"":2466,""button_value"":1,""completion_code"":93463}"	2017-08-11T14:35:54	4516312730566656
"{""age"":29,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":276148,""dimension_condition"":10,""coherence_condition"":80,""predictive_dim"":12,""predictive_idx"":3,""feature_positions"":""1_9_6_0_2_3_5_4_7_8"",""feature_dims"":""11_10_2_12_13_5_15_0_3_4_9_6_8_7_14_1"",""trial"":58,""block"":3,""block_trial"":18,""stim"":""1111111110"",""shuffled_stim"":""1011111111"",""label"":1,""rt"":4464,""button_value"":1,""completion_code"":98117}"	2017-08-11T14:17:45	4516428426248192
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":691210,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":10,""predictive_idx"":1,""feature_positions"":""3_0_2_1"",""feature_dims"":""9_10_11_3_12_5_4_0_2_8_13_1_7_6_15_14"",""trial"":96,""block"":5,""block_trial"":16,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":1722,""button_value"":1,""completion_code"":23242}"	2017-08-11T14:26:42	4517063007666176
"{""age"":25,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":806956,""dimension_condition"":16,""coherence_condition"":70,""predictive_dim"":11,""predictive_idx"":2,""feature_positions"":""8_1_0_4_7_14_5_2_13_11_10_3_6_15_12_9"",""feature_dims"":""10_0_11_15_14_1_3_8_7_6_12_13_4_2_5_9"",""trial"":13,""block"":1,""block_trial"":13,""stim"":""1011101111111101"",""shuffled_stim"":""1011100111111111"",""label"":1,""rt"":2853,""button_value"":0,""completion_code"":82577}"	2017-08-11T13:54:28	4517466063503360
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":366793,""dimension_condition"":4,""coherence_condition"":70,""predictive_dim"":9,""predictive_idx"":3,""feature_positions"":""2_1_3_0"",""feature_dims"":""13_4_12_9_2_5_14_3_8_1_15_11_10_6_7_0"",""trial"":56,""block"":3,""block_trial"":16,""stim"":""0010"",""shuffled_stim"":""1000"",""label"":0,""rt"":1074,""button_value"":1,""completion_code"":20608}"	2017-08-11T14:18:23	4518090310156288
"{""age"":29,""gender"":""male"",""country"":""India"",""experiment"":""exp_two_no_timer"",""subject_ID"":334524,""dimension_condition"":4,""coherence_condition"":90,""predictive_dim"":3,""predictive_idx"":2,""feature_positions"":""1_2_0_3"",""feature_dims"":""7_5_3_8_12_14_6_13_10_1_9_2_0_11_15_4"",""trial"":30,""block"":2,""block_trial"":10,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":1113,""button_value"":1,""completion_code"":26181}"	2017-08-11T14:35:14	4518374314868736
"{""age"":26,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":153597,""dimension_condition"":10,""coherence_condition"":80,""predictive_dim"":2,""predictive_idx"":8,""feature_positions"":""8_7_9_1_3_4_2_5_0_6"",""feature_dims"":""6_5_8_7_0_13_10_1_2_12_9_11_3_14_15_4"",""trial"":54,""block"":3,""block_trial"":14,""stim"":""0000000000"",""shuffled_stim"":""0000000000"",""label"":0,""rt"":989,""button_value"":0,""completion_code"":15647}"	2017-08-11T14:06:06	4519533419167744
"{""age"":29,""gender"":""male"",""country"":""India"",""experiment"":""exp_two_no_timer"",""subject_ID"":334524,""dimension_condition"":4,""coherence_condition"":90,""predictive_dim"":3,""predictive_idx"":2,""feature_positions"":""1_2_0_3"",""feature_dims"":""7_5_3_8_12_14_6_13_10_1_9_2_0_11_15_4"",""trial"":79,""block"":4,""block_trial"":19,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":978,""button_value"":1,""completion_code"":26181}"	2017-08-11T14:40:01	4520139277991936
"{""age"":39,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":208103,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":4,""predictive_idx"":8,""feature_positions"":""8_1_2_7_9_3_4_5_0_6"",""feature_dims"":""0_6_13_2_8_3_14_12_4_11_15_9_1_5_10_7"",""trial"":40,""block"":2,""block_trial"":20,""stim"":""1000001010"",""shuffled_stim"":""1000000011"",""label"":0,""rt"":465,""button_value"":0,""completion_code"":40409}"	2017-08-11T14:08:11	4521410588311552
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":576268,""dimension_condition"":10,""coherence_condition"":80,""predictive_dim"":3,""predictive_idx"":7,""feature_positions"":""3_2_9_4_8_7_1_0_5_6"",""feature_dims"":""6_0_13_5_9_10_2_3_12_4_14_15_8_7_1_11"",""trial"":32,""block"":2,""block_trial"":12,""stim"":""1101000010"",""shuffled_stim"":""1000101100"",""label"":0,""rt"":9184,""button_value"":1,""completion_code"":38446}"	2017-08-11T15:25:45	4521843574702080
"{""age"":38,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":684897,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":4,""predictive_idx"":4,""feature_positions"":""9_7_2_5_0_3_1_6_4_8"",""feature_dims"":""12_0_3_6_4_7_10_15_13_14_1_5_8_2_11_9"",""trial"":61,""block"":4,""block_trial"":1,""stim"":""1110101101"",""shuffled_stim"":""1110101110"",""label"":1,""rt"":2529,""button_value"":0,""completion_code"":93463}"	2017-08-11T14:38:56	4522230390194176
"{""age"":52,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":779788,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":1,""predictive_idx"":1,""feature_positions"":""3_0_2_1"",""feature_dims"":""5_1_4_13_14_9_2_6_7_12_15_3_0_11_10_8"",""trial"":85,""block"":5,""block_trial"":5,""stim"":""1101"",""shuffled_stim"":""1101"",""label"":1,""rt"":998,""button_value"":1,""completion_code"":13545}"	2017-08-11T14:26:49	4523268966973440
"{""age"":21,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":635133,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":2,""predictive_idx"":4,""feature_positions"":""6_4_3_2_0_1_9_8_5_7"",""feature_dims"":""5_1_14_12_2_10_15_9_7_8_4_13_6_3_0_11"",""trial"":45,""block"":3,""block_trial"":5,""stim"":""1011011110"",""shuffled_stim"":""1011100111"",""label"":1,""rt"":674,""button_value"":1,""completion_code"":66292}"	2017-08-11T14:02:49	4524415991676928
"{""age"":52,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":779788,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":1,""predictive_idx"":1,""feature_positions"":""3_0_2_1"",""feature_dims"":""5_1_4_13_14_9_2_6_7_12_15_3_0_11_10_8"",""trial"":75,""block"":4,""block_trial"":15,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":1421,""button_value"":1,""completion_code"":13545}"	2017-08-11T14:23:48	4524601212141568
"{""age"":36,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":656820,""dimension_condition"":4,""coherence_condition"":70,""predictive_dim"":5,""predictive_idx"":0,""feature_positions"":""0_3_2_1"",""feature_dims"":""5_7_3_1_10_6_14_13_2_9_15_11_4_12_0_8"",""trial"":8,""block"":1,""block_trial"":8,""stim"":""0101"",""shuffled_stim"":""0101"",""label"":0,""rt"":1970,""button_value"":1,""completion_code"":33260}"	2017-08-11T14:35:35	4524832871940096
"{""age"":32,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":323277,""dimension_condition"":10,""coherence_condition"":90,""predictive_dim"":14,""predictive_idx"":3,""feature_positions"":""6_5_3_0_8_4_1_9_7_2"",""feature_dims"":""5_11_9_14_2_1_4_6_12_10_15_8_7_3_13_0"",""trial"":10,""block"":1,""block_trial"":10,""stim"":""1010000000"",""shuffled_stim"":""0001000001"",""label"":0,""rt"":3868,""button_value"":0,""completion_code"":52128}"	2017-08-11T14:02:42	4525108823588864
