content	date	key
"{""age"":33,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":278449,""dimension_condition"":10,""structure_condition"":""family"",""predictive_dim"":3,""predictive_idx"":5,""feature_positions"":""5_7_1_9_2_0_3_4_8_6"",""feature_dims"":""9_14_4_5_12_3_10_2_15_11_6_8_1_0_7_13"",""trial"":3,""block"":1,""block_trial"":3,""stim"":""1011110110"",""shuffled_stim"":""1100111110"",""label"":1,""rt"":13174,""button_value"":0,""completion_code"":86544}"	2017-08-10T19:51:07	4517256012759040
"{""age"":29,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":523528,""dimension_condition"":4,""structure_condition"":""intermediate"",""predictive_dim"":1,""predictive_idx"":0,""feature_positions"":""0_1_2_3"",""feature_dims"":""1_15_9_0_4_10_13_12_5_11_7_3_2_8_14_6"",""trial"":87,""block"":5,""block_trial"":7,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":1343,""button_value"":1,""completion_code"":59906}"	2017-08-10T19:08:02	4518283852120064
"{""age"":33,""gender"":""male"",""country"":""India"",""experiment"":""exp_one_no_timer"",""subject_ID"":13133,""dimension_condition"":16,""structure_condition"":""family"",""predictive_dim"":1,""predictive_idx"":15,""feature_positions"":""12_7_4_14_15_2_6_5_8_3_1_9_10_11_13_0"",""feature_dims"":""5_6_9_2_4_13_11_15_0_3_8_7_12_14_10_1"",""trial"":72,""block"":4,""block_trial"":12,""stim"":""0000010000000000"",""shuffled_stim"":""0000000100000000"",""label"":0,""rt"":860,""button_value"":0,""completion_code"":16426}"	2017-08-10T20:40:35	4519214517846016
"{""age"":29,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":745200,""dimension_condition"":10,""structure_condition"":""family"",""predictive_dim"":10,""predictive_idx"":8,""feature_positions"":""6_8_7_2_3_9_4_1_0_5"",""feature_dims"":""4_7_1_2_8_3_6_14_10_11_5_12_15_13_0_9"",""trial"":37,""block"":2,""block_trial"":17,""stim"":""0000000000"",""shuffled_stim"":""0000000000"",""label"":0,""rt"":546,""button_value"":0,""completion_code"":46454}"	2017-08-10T19:00:17	4519533419167744
"{""age"":28,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":609175,""dimension_condition"":16,""structure_condition"":""family"",""predictive_dim"":13,""predictive_idx"":7,""feature_positions"":""9_8_11_15_4_5_3_0_12_13_6_14_10_2_7_1"",""feature_dims"":""3_1_7_8_4_10_2_13_9_0_5_6_14_15_12_11"",""trial"":10,""block"":1,""block_trial"":10,""stim"":""1111111101101111"",""shuffled_stim"":""1001111111111111"",""label"":1,""rt"":1524,""button_value"":1,""completion_code"":19027}"	2017-08-10T20:23:31	4519543082844160
"{""age"":54,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":5302,""dimension_condition"":4,""structure_condition"":""family"",""predictive_dim"":5,""predictive_idx"":3,""feature_positions"":""2_3_1_0"",""feature_dims"":""8_1_12_5_10_15_2_0_3_13_11_7_6_14_9_4"",""trial"":12,""block"":1,""block_trial"":12,""stim"":""1101"",""shuffled_stim"":""0111"",""label"":1,""rt"":3430,""button_value"":1,""completion_code"":15320}"	2017-08-10T19:07:58	4520786744311808
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":428483,""dimension_condition"":10,""structure_condition"":""family"",""predictive_dim"":9,""predictive_idx"":7,""feature_positions"":""3_1_4_2_8_9_6_0_5_7"",""feature_dims"":""4_8_14_2_10_3_1_9_12_6_0_7_13_15_5_11"",""trial"":53,""block"":3,""block_trial"":13,""stim"":""0000001010"",""shuffled_stim"":""0000101000"",""label"":0,""rt"":585,""button_value"":0,""completion_code"":30035}"	2017-08-10T19:30:16	4521708283232256
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":428483,""dimension_condition"":10,""structure_condition"":""family"",""predictive_dim"":9,""predictive_idx"":7,""feature_positions"":""3_1_4_2_8_9_6_0_5_7"",""feature_dims"":""4_8_14_2_10_3_1_9_12_6_0_7_13_15_5_11"",""trial"":82,""block"":5,""block_trial"":2,""stim"":""1111111011"",""shuffled_stim"":""1111111110"",""label"":1,""rt"":717,""button_value"":1,""completion_code"":30035}"	2017-08-10T19:32:38	4522230390194176
"{""age"":29,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":107650,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":7,""predictive_idx"":0,""feature_positions"":""0_2_1_3"",""feature_dims"":""7_0_1_6_9_15_14_11_13_5_8_10_4_3_12_2"",""trial"":67,""block"":4,""block_trial"":7,""stim"":""1100"",""shuffled_stim"":""1010"",""label"":1,""rt"":2003,""button_value"":1,""completion_code"":50133}"	2017-08-10T19:12:04	4522565129207808
"{""age"":52,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":308355,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":9,""predictive_idx"":4,""feature_positions"":""3_4_7_5_0_1_8_2_9_6"",""feature_dims"":""6_5_2_15_9_7_8_12_11_13_10_4_14_0_1_3"",""trial"":25,""block"":2,""block_trial"":5,""stim"":""0100101101"",""shuffled_stim"":""0110010011"",""label"":0,""rt"":1400,""button_value"":0,""completion_code"":13989}"	2017-08-10T19:59:34	4523563709104128
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":282019,""dimension_condition"":16,""structure_condition"":""intermediate"",""predictive_dim"":14,""predictive_idx"":7,""feature_positions"":""7_4_12_2_10_13_15_0_14_3_11_9_1_5_8_6"",""feature_dims"":""5_2_7_13_6_11_15_14_4_3_0_12_1_9_10_8"",""trial"":88,""block"":5,""block_trial"":8,""stim"":""0001100000010010"",""shuffled_stim"":""0100000011100000"",""label"":0,""rt"":2011,""button_value"":1,""completion_code"":88003}"	2017-08-10T19:10:43	4523990521479168
"{""age"":28,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":608264,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":13,""predictive_idx"":5,""feature_positions"":""5_9_2_3_4_0_1_8_6_7"",""feature_dims"":""14_6_0_9_3_13_5_15_12_1_10_8_7_2_4_11"",""trial"":22,""block"":2,""block_trial"":2,""stim"":""0010100110"",""shuffled_stim"":""0010100101"",""label"":0,""rt"":1888,""button_value"":0,""completion_code"":92260}"	2017-08-10T19:18:42	4524601212141568
